clean_text,sentiment
i ve been using the original b n nook ereader for several years now i finally decided to upgrade i wish i d done it a lot sooner the new kindle touchscreen ereader is phenomenal the device is light and easy to carry almost unbelievably so it is fast and responsive and touch screen has delay i would recommend anybody in the market for this one buy one immediately you won t regret it,20
exchanged the google google home for this model fun for the kids finding new uses for it every day had a problem when best buy forgot to include the free light bulb,20
love this kindle the press side page turner is great,20
alexa is amazing and the phillips bulb works seamlessly with it,20
it has very limited use without adding on expensive apps or adding more wireless speakers i am considering returning the merchandise,20
information on weather updates on music events fun questions answered while working in kitchen good sound for a limited areagreat sales assistance at best buy,20
the grandkids love this tablet easy for them to use,20
bought as gift for my granddaughter who is she loves it plays games watches videos and listens to music,20
it was good works pretty easily the camera is good,20
fixed alot of issues that were complained about with the,20
this is great product the tablet are made tough and great price,20
this tablet is not only a great price but exactly what i needed for quick internet access and to download books,20
if amazon and google can work things out the show will be amazing we already loved the echo and the dot and were looking forward to adding video unfortunately youtube is no longer on the show limiting the video content if they can ever get it back the show will definitely be a star product,20
the family and i love alexa view and once we got it we were hooked now everything in the house and outside is run by voice commands the opportunities with this are endless,20
bought for my wife to upgrade from the original kindle that she has worn out big step up from the original and should be good for another years,20
i have dots and an echo and this just sounds better and looks better,20
was not hard to set up and love the quality good screen size and clarity,20
i bought shows and i am loving them them video flash briefing are wonderful and personalized i don t have to keep my phone on me to keep in touch with my closest family members they can just drop in and i can do the same with the kids when away from the house i made more purchases immediately after to put them in my office and living room i love the lyrics when music is playing and looking at the forecast on the fly they are a must have for a modern home,20
i really enjoy my fire stick it s really easy to use,20
excellent speaker love the portability and long lasting battery before a recharge is needed a very good digital assistant and lots of fun to use,20
this new fire tablet with gb of internal memory is an upgrade from my older gb version allowing more storage of books movies and apps,20
great product user friendly and can t be beaten for the promotion prices,20
this tablet does a great deal from surfing the net to watching movie and using all of the music channels this is an affordable way to stay in touch also i use it for ebooks for school,20
we love alexa great addition to our family lol but seriously you can rely on alexa,20
purchased this item for our daughter she absolutely loves it,20
great inches tablet with and amazing storage for apps,20
i am pleasantly surprised at how well this works i bought the e reader and it didn t work so i was nervous buying this kindle but it works great and my son loves it,20
great device and easy setup the ease of use for the kids are also great,20
love the new fire great for books games and getting online easy to use features and perfect size screen to take on the go,20
this was a christmas present the person that received it was very happy with it she has other kindles but this new one is an obvious improvement over the previous ones,20
great resolution easy to use amazon prime gives you free movies books and games,20
amazon built upon the success of their echo i m really enjoying the convenience of the echo with the added display,20
this tablet is great for kids i bought it for my grandson and he is delighted with it he uses it constantly,20
i just love this tap it is so much fun the music is so great i play the relation music every night every night best thing ever,20
i can t update facebook and a few other apps it s not what i expected,20
i didon t care for this tablet downloading apps outside of amazon was really confusing,20
best item i ever use i would love to get another one,20
i didn t actually use as i bought for a gift my grandson already had one so we returned for a pair if d goggles,20
this tablet has been the best one for the price we have purchased other tabs for our kids and they have all broke and ran super slow they love them would definitely recommend this to anyone who wants to save a buck but want quality,20
purchased as a door prize gift given with a one year amazon membership the recipient loves it and says it performs very well as a past amazon fire user now i pad graduate i loved my amazon fire for more than years without any problems in fact i just recycled it on to my son and it runs like a champ,20
biting as a gift my only concern was the size and the amazon interface it was easy enough to download the google play store so it was familiar to the user size was an initial concern but it was just right to watch movies without being so cumbersome,20
i understood it did not have the wake command but it would be better if it had it other than that everything is wonderful with this speaker really convenient to be able to listen to my podcasts without messing with my phone or apps just ask alexa and she plays the most recent episode,20
my yr old grand daughter loves her new tablet now she can watch mickey clubhouse whenever she wants,20
for a cheap starter tablet it s fine bought it to replace a cheaper kids tablet and it ll do for that,20
love this tablet power lasts long short charge time hd screen is really clear only con is that there are some apps not available like google play very satified have a gb card in mine plenty of space for downloads the camera has no flash and is not the best but i didnt buy this tablet for that high recommend the hd tablet gb amazon fire you want go wrong,20
this was a perfect tablet for my year old it does everything that she needed it to,20
simple great buy for your money if you are an avid reader,20
sound quality is very good sleek design is nice,20
i love to read books books books and more books,20
makes reading easier and more enjoyable in that i can see a whole page at one time the protective cover that best buy sell was a disappointment in that it covered the on off switch and did not hold the tablet very well so that i had to find another cover from another source,20
this was a gift for my kids they love them easy to use and lots of great apps,20
product is great it is easy to use and easy to set up,20
i bought this for learning and entertaining purposes my daughter is enjoys it i compared this to other learning tablets and found for the price protection plan this works best for us,20
like the fact that i can see videos and utilize ir with my lighting system,20
purchased for my mom in a memory care center she doesn t have to answer the phone we simply drop in and start talking until she sees us picture clarity awesome staff also aware of this camera feature and knows we drop in frequently doesn t replace room camera but good would give a but can t figure out how to have other alexa owners drop in on her anyone know,20
purchased this for year old boy and couldn t be happier,20
i am loving my amazon echo show it makes life easier i love being able to ask what the weather is going to be or play some music just by asking alexa i also love being able to video call friends and family that have an echo show or the alexa app overall it is a great product,20
this kindle fire is lighter than my old one the speed is great all apps load very quickly i also like that it comes in different colors,20
the kids will have a lot of fun time with games and learning,20
this has quickly become one of the most used at the kitchen counter if you have alexa an you like it a must have upgrade,20
i had an older version of a kindle e reader that allowed me to download books on the go but i felt like something was missing several upgrades later i got this for a gift and i think it basically includes everything that was missing it is so lightweight and compact that i can easily slip it into my purse or use it with one hand it has backlighting that doesn t disturb my sleeping husband or create a light so bright that it is distracting it s just the right amount of light needed to read in different ligths it can self adjust from reading in a dark room to reading outside on a bright day,20
the graphics and sound on this tablet were better than expected,20
i got oasis yesterday very lighweight compared to voyager screen size comparable like having actual page turn button touchscreen seems kinda slow the on off button on top is improvement from back of voyager cover does seem kind of flimsy but supposed to be leather so will see how it holds up finding it easier to hold with cover on then removed cover doesn t have separate charge port so all charging is done thru kindle,20
got it for few weeks but it kind of fades away from your life,20
i bought this tablet for my year old daughter too many advertisements i would rather pay more and not have a single ad,20
we were interested in the echo line of products after we purchased our vivint security system the echo show is a perfect addition we are able to view our security cameras from the the echo show and it works great in general as an echo with all its features,20
this is a great tablet for kids as it is not too expensive and there is a year warranty if it breaks within years they replace it my year is very rough with things my husband was letting him plug the charger in by himself and jammed it into the tablet causing the charging port to break i had no problems getting it replaced,20
i absolutely love my kindle i go nowhere without it it has kept me entertained for hours don t have to keep up with books that get torn or lost i would and do recommend a kindle for everyone,20
i really enjoy the sound it sounds so full my only disappointment is the limited functionality of the built in hub i had to purchase the hue hub to get full functionality other than that i love it,20
i love it easy to use many different features,20
i have had kindles over the years got to have one to read my books relax,20
alexa is amazin i love the features their great just love it,20
video integration it s big plus for video calling kids at home and quick check who s at the door when doorbell rings,20
having amazon echos i had to pick up these to add to more rooms these work best in the bedroom or kitchen video display is bright video calling is a great addition and is flawlessly get them when they go on sale,20
the color is what got me and the features was on point the screen shows a lot of different displays to share for now until the next one,20
i love this product and it was one of my best buy s from best buy,20
i love it it works great i love the drop in func,20
this is my first tablet love it actually read my first e book on it large screen easy to read play games fits nicely in my purse,20
upgraded from the echo to add video support for my cameras sound is much better,20
with the cover attached the battery lasts for a good long period with the cover detached which is how i use it primarily the oasis is so thin that it is almost weightless in your hand the ability to switch hands flip upside down means one never seems to tire of holding the device to read a book and it fits into my pants pocket again perfect for traveling the battery seems to last with heavy usage for at least several days but i tend to reconnect the cover at night i am assuming that helps to recharge the basic oasis battery regardless it was well worth replacing our older kindle readers with the newer oasis we bought two,20
great tablet perfect for my year old son,20
good way to get started for kids to play with and they can learn,20
like it better then the nabi jr more like a real tablet actually it is with the extra protective case,20
i don t know why i waited so long to bring alexa into my home it s how i listen to my music now dictate my shopping and to do lists and get my morning weather report just to name a few i highly recommend this item,20
this was a great tablet for the price for my wife perfect size and good for traveling,20
got this as a gift for my sister and her fianc and they love it works great with phillips hue,20
i purchased this kindle fire for my husband and he loves it he had an older model which he loved but my dog accidentally broke it this updated version has so many new features which he loves,20
i got this for my two grandsons ages for christmas they love them,20
i had always been looking to upgrade my original kindle i love the new touch features and display on this one the size also makes it very easy to transport,20
i wanted a lighted ebook reader and also access to the internet in a small format the fire meets my needs at a great price,20
no problem other than setup took a few minutes to finish,20
it would be nice to have full app library but it does what you need,20
the new design is lighter has a longer battery life and the page displays are crisp and clear the light adapts to the environment you are reading in to keep the image consistent the new kindle voyage is amazing,20
i gave my paperwhite to a friend and bought the voyage i like the clearness of the screen and how easy it is to turn pages i don t know that it s really worth all of the extra cost compared to the paperwhite especially since the new one just came out with dpi,20
i bought this tablet for my mom on her birthday recently she loves it and uses it all the time,20
very impressed set up a little confusing but overall a good experience still learning however best buy emails give away any gift secrets had to reset my account to a work email address,20
she love it she said it easy to use she love it very much,20
this is my third kindle and the best one yet love the new controls the backlit page the compact size and the ease of use i would recommend the kindle voyage to all readers,20
we got this for the whole family and we are absolutely love the alexa speaker,20
everything i expected with none of the drawbacks i have found in other tablets,20
bought this as a surprise gift and the recipient loves it,20
it s ok but i rather have bought samsung galaxy tab,20
this is my third kindle the best differentiator is the form factor definite improvement over the paperwhite also like having the page turn buttons back case is very cool indeed if you can get past the jump in price remember you re not having to buy the case separately it s a quality product to have,20
i never used kindle before my wife gifted me on my birthday this is the amazing product i am using it for daily reading the display is fantastic and no strain on eyes,20
the apps are better it charges faster and the camera is really neat,20
it has been wonderful i bought it for my boyfriend but i get more use out of it then he does,20
i think the amazon fire offer should include a stand cover as standard i enjoy mine a lot more since i was forced to purchase a stand cover which holds the tablet would have preferred an instruction sheet to grt everything set up for use,20
i found the amazon fire hd to be very easy to travel back and forth to school i can easily transfer my work in class to my main computer at home,20
i bought this as a gift so i haven t gotten to use it much yet the initial setup was really easy and i am sure that she is going to love it,20
very satisfied with product as do my family kids,20
i bought it for my son in laws birthday after they bought me one for christmas not just good for music but helpful for grandkids homework and now we can video chat with grandkids which the one year old loves,20
this is a great tablet for kids and adults alike,20
i had some thoughts about getting this for a year old but if you get the screen protector and a case i feel it will last a long time,20
this is a great product and i would recommend it to anyone that enjoys reading,20
easy to use and elegant in design perfect gift for kids,20
i bought this as a gift for christmas and it was well liked,20
i haven t used this yet it is a gift for my father but i think he ll love it,20
i needed a simple tablet to use in my car on long trips bought two of these and boy do they deliver the best tablets for this price the kindle book reader is an added bonus the finishing is good my kids love it,20
love my amazon echo show however i wish alexa knew a little bit more,20
purchased for my father in law this was the most frustrating experience not user friendly not friendly at all stick with a name brand tablet apple samsung etc avoid this device at all costs,20
my nd fire great picture quality easy to use would recommend for all ages,20
recently divorced i bought of these tonserve as homebase for me and my year old it has helped him to know there is one spot in both our houses he can reach me by simply saying drop on daddy,20
easy to set up but it does not work with all phones i have samsung,20
this fire worked great but i returned it because it was not the one i wantedbest buy took it back for a full refund with no problems best buy is alsome,20
i love my kindle i m back to reading so much more often as i always have several books with me at all times at first it surprised me that this version doesn t have a back light and you need a light to read but i actually like it now as i don t get the eye strain like i do when using my phone,20
we purchased the amazon echo show with alexa in store took it home and after connection wi fi it was great we cannot wait to buy light bulbs and a thermostat great buy,20
my son is a huge fan of it and i love that i can control what he watches and plays,20
this was a gift for christmas we bought this on a black friday sale price was reasonable,20
i bought this item on a whim and because it was on sale i ve been pleasantly surprised search sounds great for its size,20
bought this for all four of my children and they loved it,20
bought for my kids and they love them they love the camera,20
in my opinion this model is too small and feels cheap and sd card slot,20
this replaced my old kindle fire i have not yet explored all of the features but so far it is performing very well tablet is a good size and weight and easy to use,20
got this for my year old granddaughter and she loves it uses it for game play homework etc mom and dad loves the parental controls not having to worry so much,20
i m very happy with my purchase i bought one because my wife has one and is very happy with hers,20
we bought this for our son who wanted nothing for christmas he uses it all the time with lights music and locking the door he absolutely loves it we are now buying another home base for the rest of the house,20
what is there to say but that i love it functions well and lasts a long time,20
it is good to have this as a backup lags performance eventually not worth for the money,20
great product i m at the beginning stages of having a smart home and this was the perfect addition,20
almost a week late from release date from ups but finally got this and set it up which was easy once in a while it doesn t hear you right but that s probably due to being feet away with the tv on other than that no problems,20
we bought this reader to replace a fire hdx that had seemed to go wonky turns out a couple of system resets and the hdx is back to normal so i get the old one she gets the new one but i can highly recommend this reader the clarity of the text and the overall functionality is excellent,20
using it in my kitchen the whole family has access and we can all use different functionality great for looking up recipies music and calling relatives or friends,20
little putsy so far but there are continuous updates that i think will make this a great device to stay connected with family bought a second for my dad who knows he might replace his land line someday if this gets better i do think our original echo is a bit better at responding but i enjoy this one in the kitchen aka hub of the house,20
i purchased as a gift for father in law and he loves it,20
i bought this tablet to replace one i had different brand that was worn out this is a pretty good tablet for the price i just wanted something to use til i could get something bigger i ve had no problems with it other than some of the games i played on my other one not being available on the fire,20
i bought two of these one for my son and the other for nephew they love it i downloaded kidsmode on it and all their educational games they can play besides regular games,20
having fun with all the things we can learn from alexa it is almost like having another person in the house,20
i purchased this tablet and am very happy with it,20
you need to have amazone prime in order to have music,20
slower than my last kindle the power button is not easy accesible when in a case,20
bought this tablet on sale i can look up all the things i m interested in,20
gift for great nephew have that are and y o both love these tablets because each got one play with them as much as mom allows,20
definitely worth the money the sound is awesome,20
i bought two tablets for you little ones and they love them i would recommend,20
love how it hooks up to lights and can play any music,20
i got this as a spur of the moment thing i figured it was going to be super gimmicky but was pleasantly surprised that it s actually a very helpful device for organizing shopping smart home control listening to music or even watching some videos while i m washing dishes my show is in my kitchen and i ve used it for countless things i think this is amazon s best alexa yet,20
great tablet for price display is clear enjoy books on tablet,20
sound is amazing wish alexa knew more things i get a lot of i m sorry i don t know that which is unfortunate,20
bought this to carry around for internet and gaming so far very happy,20
we brought this as a replacement for the fifteen to fifty books my daughter wanted to take with her to hawaii books of course would weigh a lot and there be no room for cloths pesky airline and their poundage issues now she can take a hundred books and she has a mini computer it s a win win but no win for the airlines,20
the battery is having more and more trouble holding a charge i bought the fire in july and am now having to charge it every day in order to use it i am not impressed and would not repurchase it,20
i was very impressed with the functionality of my amazon echo very useful to have around the house and for the discounted price it a steal,20
i bought this for my daughter it s a little limited in what it can do but she loves it she s a little too young to understand the games but she loves watching cartoons on it,20
can not tell you the price of merchandise when asked,20
purchased due to reviews and in sale so far easy to use,20
this device meets the needs of my grandson he can read and play games on it it also has the parental safeguards,20
i bought this item as a gift for a relative in her mid teens and so far no complaints,20
bought this tablet for my grandson and we couldn t be happier he loves it and it is easy to use created the children s account so he wouldn t be distracted by all the other goings on the internet bought this so he could play games do his school work as it links up nicely to the ixl and google class love the usage timer and the ability to lock it down i have loaded the google play store on it so we now access to many games and other apps no issues so far great buy for the money only down side i can see or in this case hear so far low sounding speaker could be a bit louder or better placed all in all you wont be disappointed in this purchase great for web page looks ups reading and playing games,20
loved the fire hd but the latest hd is sharper faster and still handles great,20
i bought the white version and have it in the kitchen i use it for everything music video phone security cams news weather it s the perfect kitchen assistant,20
this tablet is perfect for travel recently took it on a trip and the battery lasted the entire day with watching shows on and off on netflix great first tablet,20
i m in love with alexa love her fir music quick weather updates and in the kitchen for recipes it s great getting them step by step and not having to keep putting the passcode in on my ipad with hands covered in flour,20
not too satisfied with the sound and it loses bluetooth connection no matter what phone i use either iphone or android,20
absolutely love the echo show it is in my kitchen i love seeing my to do and shopping lists on there my calendar is there too plus i scroll pictures on it from my amazon prime photos love being able to get the daily news briefing from mpr every morning also use it for timing things would highly recommend it to amazon prime members got it at a great price on sale prior to christmas,20
bestbuy delivered this on the day of release amazon still seems to be back ordered it is a great product nice and light with uniform screen and snappy performance,20
nice upgrade from my old kindle i like it very much,20
kid friendly great appschild can learn many things with this tablet,20
i love this tablet for kids it s so much fun for them great buy,20
love the look love the size love that it is visual,20
great tablet for streaming good internet connection along with a nice display,20
other similar devices do not have the voice recognition learning capability the echo plus has it is superior to all the others,20
the kids love it they ask it silly questions which to my amazement it has an answer i really like for the music aspect just tell it a song and it finds it,20
this is my th kindle and is easily the best one i ve ever had it is very comfortable to hold and is very compact i was surprised how small it is but has the same screen size as my other kindles it may look costly at first but remember you are getting a cover with additional battery,20
purchased this for my mother for her birthday she loves it the large screen is what she wanted most,20
i love it it can do it all beautiful color graphics and in no time at all i can watch a movie or play games or read my favorite novel i love it,20
bought this for my teenage daughter and it works beautifully with great battery life,20
this is a good tablet for my son to use to play his games,20
looks nice can t wait to try it out great price for a tablet,20
it was just as described i would recommend it to a friend,20
when you can get this thing on sale it s an amazing deal have all of your amazon features right in your face books manga gaming amazon it s easy to hold has amazing battery life and has a pretty decent screen sure the galaxy tablets have better specs but it s the price and features you get from amazon that make this device amazing,20
needed a tv in our kitchen wasn t looking for huge or fancy for this so the inch was perfect for us,20
very happy and satisfiedeasier to handle fast charging,20
i love my new amazon fire tablet it s great the perfect size to fit in my purse so that i can take it with me i would definitely recommend to a friend,20
love alexa it works so well speaker system is excellent and it is amazing how many things it does,20
i bought this tablet for my year old grand daughter and she loves it we set the parental controls for her age group and now we don t have to worry about what she is doing on it we downloaded her favorite disney movies onto it and now she has her own little private movie theater it also works great with our amazon fire tv and can watch a lot of her favorite kid shows this is a great buy for the money and i recommend it to everyone,20
this is an awesome product i also own a paperwhite if you always read in good lighting i would recommend you save some money and buy this instead of the paperwhite,20
i love that this tablet came preloaded all we needed to do was charge it and my child had access to many books at an appropriate level,20
very good price good item would purchase again this was a gift,20
the system is able to react quickly to the verbal directions it even is able to pickup voices across the room and seems to capture the commands accurately even when spoken quickly,20
purchased this for my son has room to upgrade memory to allow more books games but the speakers could be better or located in a better position,20
i love that the kids can only do what you allow them to they can t get to the internet unless you put it on there profile which i don t because i have a four and year old there apps are very easily accessed and are big so they can b seen very well also these tablets double and can b used as a regular tablet for grown ups,20
i would recommend this product it works great and ver compact,20
i wanted a speaker to listen to pandora and go so much more being able to speak to alexa and get news weather timer light controls and so much more love the product,20
i am so glad that i bought this echo it has made it easier to automate my music and my lights throughout my house we are still learning to use it but hope to add our thermostat as well to the items i can control with my alexa,20
its a great product but for the cost the speakers are not what they should be and the screen is too small choosing what is desplayed on the screen is something i still have not figired out hopefully software updates will fix the minor problem and a second generation will hopefully fix the hardware downfalls voice recognition is also not as good as the eco dot i am not recomending this product at this time because of the cost and poor performance,20
this is the hub dollar my smart devices and it worksthis is the hub dollar my smart devices and it works,20
not a substitute for an ipad but a really good tablet for reading and minimal internet usage,20
meh it works i find it difficult to navigate i also have an ipad mini this seems to be less intuitive than the ipad,20
bought two of these one for the living room and one for the bedroom great when you dont feel like walking to the living room and need to talk to your significant other honestly dont use it much but when i do its great music shopping stupid questions movie times etc,20
i bought this second kindle for the larger storage space and love all the extra stuff i can do now,20
the ease of use and comparability with smart home products make a this an awesome product,20
this is my th kindle and is easily the best one i ve ever had it is very comfortable to hold and is very compact i was surprised how small it is but has the same screen size as my other kindles it may look costly at first but remember you are getting a cover with additional battery,20
i read a huge number of books in kindle format this kindle fire is perfect for that it s just the right balance between screen size and easy carrying it also is great for audible users you will want to install a micro sd card though you can also use it to watch netflix and the like although i don t as a tablet it leaves a lot to be desired if you are looking for a tablet give this a pass it has a lot of system lag and wifi reception is terrible even in areas where other devices show a strong signal also you should know that you can t access any apps on the google play store it s locked into amazon none of that bothers me because like i said i only use it to read listen to kindle books and this device works perfectly for that bottom line if you just want a kindle reading platform with some extra functionality this will work well for you if you re looking for the full android tablet experience look elsewhere,20
my echo show is my christmas gift to myself so far i am having great fun with this nifty new addition to my amazon family of home monitoring devices i have connected the show to my ring doorbell,20
when used with amazon prime and the freetime app for kids this is a great tablet recommend installing at least gb of micro sd card storage and install apps to the card to insure that the tablet has enough free space to handle videos easy enough to use for our year old grandson,20
this is a low cost item that provides huge returns for the money spent it is a great little tablet,20
family is having fun with alexa i do like the way it integrates with other devices around the home arlo nest,20
i love the the ability to video chat and watch videos on how to do stuff,20
i bought several alexa s for christmas gifts also for myself also bought amazon show for christmas gift also for a my youngest daugter,20
you have the ability to set up on and off times for your child s profile the apps are good and adults can use it as well because you can have multiple password protected profiles on the tablet at once this was perfect for my five year old on a five thousand mile plus plane trip,20
this is an awesome product this is the first echo product i owned and i purchased to get off i was going to split with a friend but like this so much that i decided to keep both i ve being singing along with the stream song with lyrics while doing work in the kitchen and house and watching youtube videos the videos on youtube takes a more effort to find the ones i want but i think this will improve over time,20
just installed but like it so far the picture is clear and the price is affordable,20
the amazon echo plus is good buy it buy it you will love it,20
great product but the only downside is that it did not work with my home security camera,20
this is my third one of these and this is the best one by far,20
just a simple kindle doesn t have the glass back,20
my sons love playing on their tablet not only does it allow me additional time to get things done but they enjoy the educational apps provided,20
my kids loved it they were able to learn how to use it right away,20
this is great for kids it grows up with them all the apps are good my kid loves it,20
works well with smart home lights door locks and wireless security cam,20
we bought this as a christmas gift for our year old he loves it it s durable and reliable,20
love my kindle at the price it is the best value in tech right now,20
i bought this tablet for my grandson and he absolutely loves it,20
bought this for my grandson the first one had issues and best buy exchanged it my grandson loves it,20
she hasn t used the it yet but my son did a quick check and it seems just fine,20
my daughter loves her kindle and it s larger than the previous one she had she enjoys it,20
my husband is a truck driver and being on the road away from home he likes to have shows and movies to watch this has so much space for him to download things to watch,20
my kiddo loves this tablet she s and knows how to work it well i look at it sometimes and see apps that i didn t download lol good thing first year is free it s very durable as well great product overall i would ve liked a different color for her but blue was all that was in stock and i got it a great price being on sale plus i had certificates to use,20
i received an original echo two years ago and use it in my office this year i decided to get one for the house and was amazed at all the features i hadn t taken advantage of primarily the smart home features this was great because it came with a lightbulb,20
can use many differents apps from the echo show awesome product,20
happy with the purcase gift for my mother in law,20
amazon s devices get better and better each release i ve had the original kindle fire and it s in no way an apple ipad replacement but what it does it does better than anyone it s a perfect starter tablet and perfect for a child the price keeps you from worrying about drops and the interface is easy to use,20
i bought it xmas for my yr old who always wants our iphones to watch utube videos it s cool looking and well made plus alexa is helpful it she still prefers our iphones because the touch screen makes it a bit easier to stop her video and is more sensitive i like it but don t live it,20
i love my smart portable speaker it has games weather news podcasts radio stations etc if something is missing i can connect my bluetooth phone and stream whatever other audio application i want,20
the original electronic book bought it for my wife who reads paper book at two to three a week she s hooked and loves the kindle,20
this kindle is light and easy to use especially at the beach,20
love everything about my new tablet good for on the go work related stuff or even just basic movie watching or emails,20
great tablet lag free when running apps good battery life only downside is lack of ability to screen mirror was available on older versions but no longer,20
i purchased a echo for home so added a tap for my office at work so i can chat with alexa at work and my main reason was for a decent bt speaker for my office this has great sound streaming my prime music and xm vis the xm app can t go wrong quality music and alexa when i need some help with spelling hard word s she getting smart pick one up you have a woman to talk to when the wife is out,20
